Age,Annual Income,Spending Score,Cluster
22,138220,20,1
78,94764,75,2
44,83991,1,0
70,82642,56,3
58,123333,91,3
38,70435,24,0
88,189093,50,2
33,177848,29,1
59,96744,97,3
72,83218,32,0
27,39027,29,0
35,139195,33,1
37,144020,45,1
44,186527,6,1
29,48177,53,3
58,139447,35,2
39,119071,3,0
33,181795,1,1
65,150797,44,2
52,76398,31,0
45,58209,64,3
82,122425,46,2
59,46020,78,3
34,61463,72,3
52,29917,3,0
59,194285,47,2
45,96402,43,0
29,146297,82,1
83,148435,71,2
26,111030,96,3
79,27136,48,0
49,197608,33,1
19,55184,32,0
48,92981,70,3
22,40540,40,0
54,88161,40,0
83,165910,52,2
60,167341,34,2
78,90847,77,3
33,35619,73,3
27,41176,50,3
33,120389,51,1
55,74456,13,0
46,181085,64,1
87,46613,76,3
79,83333,73,3
19,165788,44,1
22,99687,51,1
31,83755,8,0
84,155012,80,2
27,56250,100,3
20,111933,39,1
36,191350,99,1
77,94946,92,3
67,63064,26,0
26,82707,4,0
34,135368,27,1
40,44192,70,3
41,32923,95,3
57,100359,18,0
35,28555,18,0
85,142048,11,2
63,111526,91,3
35,33041,15,0
77,157332,57,2
25,71927,39,0
28,194371,19,1
31,85563,28,0
85,130091,37,2
90,42161,94,3
28,159617,71,1
70,46295,54,3
46,74147,48,0
71,190491,75,2
81,124912,24,2
35,84210,53,3
37,134784,6,1
71,185966,6,2
50,140875,83,1
65,177020,100,2
83,151188,88,2
39,33191,2,0
32,163264,64,1
26,40345,23,0
24,184070,21,1
65,44776,36,0
36,119502,52,1
41,113729,54,1
83,194008,55,2
61,60084,36,0
84,144269,1,2
33,109638,49,1
89,88161,50,2
35,182663,68,1
89,91139,59,2
40,180570,23,1
69,57994,35,0
88,172761,69,2
34,38774,84,3
88,80079,9,0
61,23888,59,3
60,189867,98,2
78,23342,91,3
35,76836,29,0
53,170065,28,1
33,99420,64,1
86,174987,71,2
90,117976,85,2
84,74475,54,2
54,103099,49,0
20,188784,21,1
86,28187,37,0
73,145465,54,2
35,120472,94,3
88,37300,4,0
54,113062,65,3
19,150107,61,1
84,22452,48,0
60,42834,32,0
39,81494,66,3
85,59981,38,0
60,91707,89,3
85,31207,51,0
82,160112,44,2
44,199826,4,1
48,124952,1,0
21,42522,48,3
87,54581,94,3
41,68045,37,0
52,141101,30,1
76,74629,27,0
72,70373,4,0
67,22820,19,0
32,83620,77,3
71,96598,33,0
38,55259,53,3
57,26527,59,3
80,152277,50,2
60,150622,51,2
53,177668,26,1
84,138972,90,2
26,52463,75,3
34,139068,63,1
67,193657,23,2
31,154450,38,1
81,116964,89,2
67,122895,41,2
32,176367,2,1
32,118656,21,1
81,68370,93,3
77,105926,7,0
27,124703,17,1
59,147027,49,2
37,110855,1,0
47,70702,66,3
28,82523,10,0
63,42330,88,3
18,178560,90,1
55,129907,39,2
46,134580,1,0
72,107376,38,2
78,125187,95,2
62,186372,61,2
60,127462,31,2
76,74630,37,0
32,95027,5,0
77,126515,52,2
56,166446,89,2
64,158708,2,2
67,120643,87,3
52,57458,35,0
58,29260,83,3
50,190730,46,1
54,184263,13,1
23,142365,37,1
59,193543,47,2
22,129465,92,1
77,65179,75,3
53,30343,26,0
46,38876,73,3
57,135290,39,2
76,189305,39,2
34,151112,35,1
89,66323,86,3
34,174069,15,1
64,76655,16,0
24,143372,25,1
55,111764,18,0
84,142286,39,2
72,148326,95,2
53,101061,61,3
85,161924,26,2
85,173245,84,2
45,196725,19,1
43,20953,32,0
86,109022,29,2
19,129516,21,1
45,164003,51,1
36,27840,36,0
51,145171,71,1
38,26427,39,0
27,56203,32,0
19,82173,10,0
81,54017,17,0
72,54956,2,0
78,186007,97,2
53,160578,6,1
83,178348,29,2
77,169719,55,2
54,165825,98,2
42,193045,89,1
70,78287,3,0
29,118684,34,1
88,116405,39,2
37,121849,4,0
22,143719,41,1
21,101576,83,3
36,26334,57,3
50,157555,17,1
53,74738,55,3
70,129521,31,2
38,137145,59,1
58,38318,60,3
48,91467,69,3
51,45879,15,0
27,52391,41,0
33,119850,56,1
76,170078,6,2
79,117332,26,2
52,174466,55,1
85,101361,96,2
18,98304,58,1
41,144752,78,1
82,24320,23,0
54,106714,20,0
22,194907,76,1
75,85799,96,3
71,63982,75,3
41,87073,25,0
90,140436,10,2
21,90740,56,1
69,174694,43,2
75,71474,91,3
70,56374,7,0
40,88459,95,3
23,133914,44,1
41,182523,79,1
34,183346,22,1
78,136769,33,2
40,20733,51,3
20,41393,30,0
73,36205,21,0
47,65662,57,3
56,97772,74,3
71,197836,15,2
57,54469,10,0
60,124047,98,3
73,81323,70,3
82,39391,26,0
48,101082,26,0
77,109549,74,2
59,194924,40,2
60,178052,54,2
23,106726,22,1
45,198713,19,1
63,92958,25,0
18,159187,56,1
71,93430,16,0
24,42163,74,3
71,122521,66,2
87,135385,78,2
44,183922,2,1
70,20908,68,3
58,173955,56,2
88,94293,83,2
26,21649,59,3
69,180330,53,2
73,37561,86,3
88,81898,73,2
64,101560,75,3
85,44607,13,0
64,173348,84,2
63,127435,77,2
64,170870,72,2
21,129790,7,1
79,80187,83,3
83,159614,8,2
76,89407,16,0
67,153531,59,2
85,198777,89,2
59,78594,19,0
55,85115,91,3
39,193628,85,1
77,102407,100,3
34,89281,56,3
86,82548,60,2
40,103640,52,1
68,91405,1,0
79,123445,66,2
29,137270,66,1
83,171348,63,2
41,141119,40,1
82,127526,14,2
75,185054,47,2
78,107494,94,3
53,57688,10,0
78,149736,44,2
75,50256,78,3
66,134911,59,2
86,74521,6,0
29,148755,82,1
19,161632,9,1
68,38528,98,3
84,22909,75,3
67,187832,10,2
46,95914,81,3
55,153041,38,1
84,76245,50,2
67,129619,38,2
69,198222,25,2
65,119444,93,3
78,38448,48,0
40,97741,52,1
72,164386,46,2
54,91225,28,0
19,122126,46,1
62,54526,76,3
55,158515,50,2
26,154839,83,1
51,154021,71,1
51,191537,41,1
34,66604,91,3
79,69881,29,0
53,85717,13,0
49,190332,53,1
48,26077,52,3
23,174708,85,1
80,156773,67,2
19,169276,95,1
79,95639,76,2
75,124498,27,2
44,120679,77,3
52,152295,91,1
69,165227,27,2
66,159783,32,2
38,175705,31,1
64,137245,60,2
45,194383,4,1
73,59263,35,0
63,95665,99,3
73,48069,82,3
83,113215,70,2
74,53856,23,0
39,172160,6,1
86,72309,54,2
41,49545,43,0
57,120031,39,2
69,167306,54,2
66,89511,46,0
40,55208,16,0
60,108863,80,3
46,181242,98,1
88,169138,100,2
57,164003,55,2
51,37102,43,0
70,55667,22,0
64,176766,68,2
81,196637,74,2
20,184387,40,1
58,104660,47,0
77,139804,22,2
41,174504,52,1
86,52216,62,3
40,80082,79,3
43,127348,7,0
56,48666,47,0
74,40689,75,3
82,135260,63,2
25,135621,44,1
52,22771,1,0
36,185752,31,1
58,124853,30,0
83,25680,74,3
49,123489,79,3
79,123362,7,0
36,133984,93,1
56,50427,52,3
74,109479,75,2
29,79914,38,0
48,70861,79,3
61,173781,57,2
42,124496,64,1
20,190420,69,1
34,100159,59,1
33,54510,96,3
38,156178,41,1
51,59939,59,3
22,145127,53,1
67,64896,99,3
84,88812,51,2
26,154753,57,1
69,159919,40,2
19,45336,53,3
56,160231,12,1
41,144324,21,1
22,131870,14,1
69,20104,39,0
57,77952,5,0
24,199076,65,1
31,92650,2,0
25,170959,70,1
55,83562,34,0
54,172382,23,1
39,60008,27,0
31,144867,81,1
72,196122,11,2
87,27167,33,0
71,168707,99,2
69,93861,12,0
37,55490,27,0
47,114120,15,0
52,187849,59,1
49,99984,63,3
74,184858,29,2
34,160824,50,1
72,73969,65,3
36,138816,65,1
28,145481,88,1
90,114829,2,0
47,87398,24,0
86,61327,7,0
73,124554,15,0
55,83935,85,3
67,60892,59,3
78,20413,44,0
64,108810,63,2
43,132743,36,1
83,104181,1,0
34,125144,85,1
77,32247,63,3
59,111425,52,2
72,38618,31,0
57,63778,57,3
71,193546,63,2
31,30505,48,3
81,72824,24,0
82,117130,58,2
41,114443,14,0
58,126819,34,2
72,160849,97,2
80,95597,47,2
23,73735,98,3
83,163569,18,2
35,195678,71,1
67,122477,19,0
29,98005,38,1
66,140084,44,2
33,183148,84,1
87,140111,44,2
72,38611,87,3
61,195305,66,2
63,170688,73,2
69,78140,41,0
31,153008,58,1
27,131134,99,1
22,76090,13,0
38,184355,71,1
83,31241,58,3
50,91230,27,0
38,65547,61,3
75,129187,21,2
70,91037,11,0
85,153007,31,2
87,152894,70,2
57,31879,43,0
36,96992,80,3
54,174665,37,1
43,56543,81,3
87,24933,70,3
39,47123,26,0
74,134385,26,2
45,71723,21,0
26,158873,77,1
44,163155,79,1
21,144965,36,1
31,144207,81,1
82,109643,16,0
22,100009,28,1
53,71711,100,3
69,192592,71,2
30,196354,9,1
64,183627,18,2
82,194775,74,2
57,167315,32,2
22,140054,51,1
56,97860,53,3
90,199124,11,2
34,57864,62,3
41,95094,78,3
21,146016,85,1
21,63732,88,3
47,40378,10,0
87,142648,72,2
86,183401,24,2
71,74309,26,0
20,150191,99,1
33,139770,8,1
64,195668,83,2
84,196994,86,2
66,153493,46,2
21,65829,71,3
71,68902,7,0
48,34334,72,3
69,140446,31,2
42,50311,98,3
62,180947,48,2
50,75689,44,0
82,168093,92,2
84,90479,96,3
34,67592,9,0
54,38854,91,3
37,63136,78,3
90,133348,62,2
39,190374,50,1
87,131804,6,2
39,119018,38,1
80,48706,31,0
68,140546,51,2
66,112968,73,2
85,129072,61,2
37,196133,55,1
53,127298,8,0
57,103755,14,0
89,62184,22,0
63,88947,26,0
37,180052,88,1
58,166959,29,2
62,150808,36,2
81,102709,6,0
89,133661,2,2
19,144231,36,1
39,194799,46,1
42,191997,89,1
58,100317,11,0
72,96935,89,3
24,180003,17,1
90,38784,64,3
25,143162,45,1
84,95450,78,2
52,24667,41,0
66,67024,81,3
55,180936,58,2
30,97533,99,3
79,152325,95,2
75,87225,9,0
28,70856,59,3
88,39342,67,3
42,40136,53,3
48,71283,1,0
64,145973,16,2
44,34010,57,3
39,33550,11,0
32,45918,4,0
80,136836,85,2
34,46580,2,0
70,179860,41,2
83,180766,80,2
31,197347,72,1
18,132488,87,1
86,68477,32,0
82,100445,77,2
86,96699,35,2
34,51610,82,3
46,129463,22,1
54,113387,97,3
85,49379,15,0
49,88212,96,3
73,190422,63,2
60,173741,20,2
62,153858,17,2
21,33269,93,3
65,162596,64,2
83,74815,82,3
42,28411,7,0
90,163256,4,2
78,45558,72,3
61,159298,70,2
64,166158,55,2
18,154195,30,1
35,76966,71,3
18,33355,2,0
83,119458,21,2
58,30990,37,0
20,45574,88,3
78,160067,80,2
71,129333,61,2
54,112107,44,0
29,86306,9,0
48,162071,67,1
36,129514,72,1
54,185161,38,1
67,114207,5,0
19,120882,56,1
35,181792,42,1
27,59681,34,0
18,122518,85,1
63,114478,99,3
71,147895,83,2
29,30192,79,3
47,130569,49,1
89,175733,34,2
66,48675,54,3
46,187218,81,1
89,65850,49,2
34,30409,78,3
43,86441,81,3
64,81651,73,3
71,154377,32,2
42,89716,47,0
33,170368,3,1
24,149763,24,1
85,75489,14,0
26,58208,78,3
65,183468,82,2
86,197393,62,2
69,64739,84,3
23,94882,66,1
35,93920,74,3
45,194577,22,1
70,161459,45,2
62,151015,74,2
57,87265,99,3
52,197380,64,1
50,164703,73,1
35,87068,74,3
67,142820,12,2
20,57414,66,3
23,35821,26,0
68,129922,70,2
31,165920,39,1
40,96771,51,1
74,160882,5,2
34,55983,9,0
41,158601,18,1
66,180763,79,2
32,24024,19,0
85,103010,34,2
42,49970,13,0
90,153585,36,2
71,95374,36,0
84,33155,68,3
87,144187,83,2
76,98844,84,3
52,48968,100,3
23,84346,17,0
80,80553,8,0
84,71621,89,3
55,135073,12,0
79,93783,33,0
70,198305,85,2
53,146455,68,1
31,177879,20,1
64,171097,24,2
58,166019,39,2
48,55191,99,3
65,111980,58,2
62,74749,94,3
20,56688,4,0
33,98626,82,3
46,115058,75,3
41,199456,9,1
68,139769,60,2
49,64643,3,0
86,154730,87,2
70,134646,60,2
55,169165,82,2
64,49198,70,3
88,59948,53,2
39,111425,85,3
58,115529,38,0
49,195029,99,1
20,188328,13,1
31,40699,100,3
46,171943,78,1
88,121555,65,2
25,127328,83,1
87,178693,27,2
78,133038,19,2
50,56604,72,3
55,189945,97,2
85,133601,1,2
41,92549,8,0
31,152964,44,1
43,144656,17,1
83,132512,7,2
69,169335,10,2
45,72217,45,0
36,134815,100,3
80,190903,21,2
59,169200,89,2
34,178957,93,1
23,187873,53,1
19,105512,47,1
61,118870,78,3
86,99837,41,2
21,178843,16,1
80,101836,81,2
83,39314,21,0
32,62758,17,0
36,65511,37,0
67,110877,22,0
76,92593,65,2
47,184654,68,1
37,68561,48,0
69,132316,34,2
64,143666,85,2
24,130987,92,1
66,34176,7,0
42,171128,75,1
72,188096,3,2
51,156948,29,1
47,106157,82,3
20,71561,32,0
42,98960,51,1
46,68144,72,3
82,138788,41,2
27,166551,65,1
28,30736,4,0
73,117656,23,2
67,27210,71,3
44,161667,35,1
55,124649,58,2
59,188031,33,2
36,153529,63,1
51,177697,34,1
72,90187,43,0
49,81804,85,3
60,67828,12,0
77,56428,76,3
74,22367,98,3
65,179989,67,2
37,114596,67,1
40,179075,65,1
62,121950,41,2
57,40925,23,0
20,167993,19,1
32,121633,40,1
60,35782,58,3
87,105032,94,2
26,38428,31,0
44,173937,91,1
26,186992,42,1
80,74099,40,0
63,150185,13,2
71,115198,77,2
63,78296,34,0
28,80307,38,0
55,53038,29,0
87,55792,84,3
36,39689,49,3
19,153781,6,1
52,116662,29,0
38,76663,80,3
24,159414,79,1
72,120085,81,2
63,102167,19,0
37,175496,73,1
38,190821,38,1
71,84268,27,0
39,162820,89,1
80,33193,63,3
80,80537,75,3
51,183939,18,1
33,163858,37,1
87,75396,83,3
50,67687,79,3
83,71541,10,0
71,108614,31,0
19,59348,23,0
85,126069,72,2
62,31948,1,0
89,177512,62,2
90,84929,83,2
90,140063,79,2
57,38224,4,0
40,20442,23,0
47,162352,86,1
36,199934,38,1
79,108865,26,2
71,152722,11,2
26,141600,84,1
28,76394,96,3
90,140857,45,2
36,162031,9,1
55,190813,22,1
40,44095,17,0
67,48217,34,0
45,94535,7,0
83,125511,12,2
66,55422,98,3
59,63061,79,3
67,170005,51,2
41,79851,57,3
81,162193,50,2
80,80468,35,0
39,168654,91,1
75,96952,78,3
71,46751,27,0
90,48500,87,3
83,122787,97,2
44,56095,98,3
78,120169,34,2
66,45575,1,0
41,161614,7,1
64,189594,84,2
46,107928,5,0
44,39712,47,0
27,42401,53,3
53,137028,21,0
46,62957,15,0
59,135310,49,2
29,34703,26,0
69,161582,45,2
83,151968,78,2
32,36442,27,0
75,65116,50,0
36,141308,9,1
69,44115,31,0
28,136112,63,1
31,161192,11,1
35,131200,27,1
41,59087,74,3
66,121139,27,2
89,162578,75,2
47,76662,63,3
43,59106,57,3
49,93112,73,3
25,113464,1,0
24,51686,31,0
37,156602,7,1
75,111023,73,2
58,49579,81,3
74,78019,81,3
51,33185,58,3
68,45630,20,0
58,147733,51,2
76,102849,27,0
39,166452,34,1
86,119742,94,2
86,192901,27,2
82,48232,25,0
74,28100,51,0
33,64795,45,0
43,75609,71,3
30,28032,79,3
36,145469,65,1
63,117469,17,0
22,53048,82,3
44,100108,13,0
60,175868,7,2
41,188180,18,1
88,126918,84,2
73,178461,75,2
84,37244,35,0
76,124852,9,0
28,127447,34,1
54,171757,85,2
45,48710,79,3
56,85585,91,3
64,130835,65,2
18,88033,82,3
45,168639,37,1
69,112028,59,2
77,56662,78,3
32,146940,21,1
41,118767,25,1
79,101589,50,2
83,62279,1,0
53,79103,4,0
69,30459,11,0
61,136238,89,2
79,104565,48,2
78,135766,86,2
85,63312,7,0
65,188207,28,2
39,196640,78,1
33,138814,7,1
55,130471,76,3
59,25298,76,3
41,191769,68,1
79,99659,18,0
63,135239,66,2
46,133902,94,3
78,186037,60,2
69,157149,88,2
82,136991,41,2
31,123518,60,1
90,192338,59,2
48,45002,84,3
83,150867,71,2
57,74288,51,3
43,177446,14,1
65,129764,37,2
36,46072,2,0
36,108956,70,3
20,148279,90,1
21,82673,96,3
56,179815,2,1
38,100452,99,3
70,141868,82,2
49,135544,98,3
82,94305,88,3
21,120726,37,1
20,149016,1,1
41,159943,90,1
77,58786,78,3
30,76805,97,3
27,55536,32,0
60,130383,98,3
80,94248,45,2
44,157372,77,1
47,160934,77,1
37,142843,3,1
39,82780,77,3
69,81578,69,3
41,74248,74,3
61,31667,51,0
21,43644,41,0
77,129433,13,2
21,141651,59,1
45,98008,33,0
90,30106,81,3
81,109914,38,2
64,189253,31,2
66,118827,14,0
75,129898,64,2
77,96453,61,2
77,191839,22,2
30,32502,57,3
69,82627,95,3
29,191760,88,1
59,143480,51,2
72,45842,74,3
27,122499,24,1
80,24154,1,0
50,109977,78,3
25,199600,37,1
33,82063,53,3
20,61127,16,0
19,36886,59,3
79,189916,81,2
41,40081,87,3
78,98635,19,0
61,193151,39,2
31,169901,86,1
48,85718,29,0
48,31319,47,0
38,85370,61,3
43,92020,25,0
61,171183,29,2
28,123199,98,3
64,31629,29,0
70,153603,31,2
76,58100,28,0
52,25588,90,3
44,182368,32,1
83,185607,72,2
51,181837,45,1
87,48210,46,0
75,31056,95,3
46,98252,84,3
22,81428,81,3
24,154669,64,1
47,87630,17,0
59,71744,51,0
46,84357,64,3
44,27595,95,3
81,118427,39,2
58,57070,13,0
66,25968,74,3
66,37225,59,3
59,72876,59,3
28,88657,64,3
50,48916,28,0
81,95441,41,2
27,177593,46,1
63,79629,97,3
56,172023,59,2
30,187248,23,1
38,149779,77,1
61,61869,90,3
42,51495,76,3
23,191209,89,1
18,170359,50,1
23,42140,56,3
90,154016,94,2
41,161143,23,1
64,181359,82,2
46,31179,97,3
60,101192,54,3
74,198753,31,2
35,112265,99,3
79,167629,52,2
84,142021,10,2
89,140505,12,2
86,119131,28,2
72,47200,56,3
85,109068,2,0
81,121655,56,2
38,193906,66,1
33,167291,88,1
73,54654,27,0
37,186282,5,1
18,97203,48,1
48,98016,35,0
58,154233,32,2
32,110999,32,1
51,34274,3,0
86,115225,51,2
60,183866,34,2
62,24007,7,0
90,153258,81,2
45,48151,54,3
29,186921,16,1
51,188471,4,1
71,144391,38,2
70,125291,46,2
89,59951,13,0
77,197572,6,2
56,158605,6,1
78,82824,22,0
88,78240,18,0
64,49367,56,3
41,86738,71,3
28,20532,20,0
19,113294,97,3
50,173091,59,1
22,91559,49,1
26,57946,80,3
63,142120,28,2
77,155931,47,2
60,137514,99,3
65,118898,97,3
79,62097,55,3
40,40503,7,0
47,127556,87,3
45,90774,59,3
21,124870,19,1
55,193741,56,2
56,73071,89,3
39,56156,44,0
50,49112,74,3
36,130987,4,1
87,182091,14,2
70,51841,94,3
38,93172,96,3
85,50325,56,3
85,101047,65,2
55,183905,47,1
75,142861,45,2
45,20820,8,0
52,44444,4,0
32,114698,87,3
65,163879,78,2
63,120803,9,0
22,186838,6,1
65,40388,52,3
62,97287,5,0
79,83248,13,0
23,37466,97,3
34,149280,11,1
29,170268,5,1
22,67063,13,0
84,87495,34,2
20,74329,96,3
51,28876,9,0
40,172649,68,1
88,118210,46,2
51,68677,21,0
54,20970,7,0
46,69139,20,0
26,59456,94,3
54,23575,53,3
55,172131,98,2
84,164744,76,2
18,33775,13,0
41,118905,36,1
56,124202,54,2
78,45603,59,3
70,68189,3,0
82,63234,19,0
89,34904,13,0
42,90377,57,3
23,159264,70,1
33,140340,75,1
60,172766,79,2
80,131423,52,2
20,43889,86,3
44,130050,5,0
45,104104,47,1
50,75044,29,0
20,195860,98,1
22,53327,85,3
54,180202,41,1
64,122941,28,2
51,71073,76,3
59,152253,21,2
72,189546,59,2
79,140819,59,2
84,79616,25,0
69,183887,37,2
39,167940,17,1
63,39267,54,3
70,90451,25,0
43,36442,39,0
49,103063,32,0
74,137009,14,2
83,197898,38,2
37,184423,28,1
64,86981,27,0
45,61391,29,0
31,197578,34,1
20,148564,82,1
72,173892,13,2
30,46114,91,3
29,41076,20,0
57,151123,72,2
62,46973,46,0
39,144125,78,1
69,69086,65,3
89,96022,54,2
65,107478,59,2
47,149458,10,1
37,143768,96,1
82,193101,39,2
44,32358,51,3
76,23825,38,0
42,32499,33,0
19,85326,83,3
57,112064,71,3
56,136874,59,2
60,56182,28,0
90,40000,35,0
76,99849,30,0
30,49997,15,0
71,153562,91,2
25,120657,50,1
74,129142,63,2
41,173239,73,1
87,147692,71,2
19,175102,66,1
35,74445,55,3
78,56392,26,0
70,30425,65,3
37,109243,11,0
82,28546,91,3
80,79714,57,2
80,40730,17,0
73,64806,2,0
39,58394,85,3
35,149263,2,1
72,79863,35,0
51,65449,89,3
79,20179,82,3
78,59920,74,3
70,25739,20,0
62,123784,41,2
72,20921,51,0
33,57035,39,0
77,164690,73,2
69,152869,11,2
21,29017,23,0
27,182282,9,1
31,97597,41,1
39,117142,74,1
28,123614,60,1
88,121740,14,2
33,118693,57,1
82,156850,49,2
80,188044,20,2
89,67968,18,0
65,93707,27,0
82,68981,54,2
18,145216,33,1
81,35606,89,3
53,38664,42,0
23,92139,38,1
52,69104,16,0
90,179804,65,2
71,153322,1,2
57,71410,42,0
67,185087,68,2
78,120260,93,2
29,45087,65,3
78,146974,6,2
21,86585,87,3
20,45952,67,3
45,65057,95,3
57,79739,54,3
89,113454,80,2
32,90214,71,3
81,22824,10,0
63,78357,9,0
60,32191,98,3
88,93534,40,2
54,46319,39,0
87,55612,20,0
32,58499,85,3
24,64324,5,0
47,49759,52,3
56,88066,83,3
55,87740,50,0
88,70009,93,3
75,146719,24,2
54,85835,94,3
67,103862,53,2
80,198066,28,2
34,104458,65,1
85,133883,46,2
34,81814,48,3
45,195469,23,1
90,147091,33,2
20,124438,27,1
41,84442,98,3
39,101603,11,0
76,182291,22,2
21,37428,9,0
49,197959,84,1
71,134411,70,2
56,165594,76,2
44,23370,44,0
50,193064,63,1
27,105000,81,3
50,154562,93,1
41,154487,92,1
40,49821,77,3
63,66491,14,0
23,198123,70,1
76,146540,98,2
79,84929,20,0
50,180539,59,1
37,120883,82,3
27,165136,32,1
53,66142,5,0
27,62648,51,3
82,71027,38,0
57,173176,64,2
44,129040,16,1
50,79508,47,0
86,50624,67,3
89,130925,23,2
25,86222,84,3
31,30888,64,3
70,109471,5,0
62,97013,27,0
80,37201,31,0
43,190206,58,1
56,171382,37,2
40,137280,78,1
70,121668,87,2
65,175966,60,2
75,22880,90,3
81,195716,59,2
47,37878,99,3
86,109073,60,2
52,37812,77,3
26,45405,9,0
39,97520,43,1
36,32461,73,3
70,121030,3,0
51,110099,74,3
65,31557,69,3
23,185325,68,1
55,41874,50,0
84,115451,54,2
70,28186,46,0
78,56955,69,3
42,181116,46,1
62,42635,79,3
48,26228,53,3
80,104334,37,2
20,81952,29,1
37,170729,84,1
45,133976,32,1
83,100949,91,2
66,99421,54,2
88,35045,25,0
80,100270,7,0
52,25196,48,0
38,31020,51,3
68,97239,46,2
88,167380,53,2
62,154482,15,2
43,69601,2,0
31,58824,8,0
63,73933,10,0
48,181591,39,1
32,139668,97,1
67,185347,41,2
25,178760,93,1
75,82445,1,0
62,124146,53,2
90,175009,36,2
31,192458,38,1
66,89359,53,3
45,23655,66,3
46,195123,98,1
32,100814,41,1
48,182867,59,1
62,100090,60,3
19,94252,91,3
85,187630,38,2
47,59703,18,0
29,198566,49,1
75,152156,78,2
70,35740,23,0
85,65777,48,0
34,182531,73,1
73,175324,44,2
71,69174,43,0
62,154779,55,2
64,93964,8,0
44,122787,89,3
35,58812,48,0
46,166076,57,1
89,125040,36,2
86,40589,35,0
87,69367,17,0
55,114243,52,2
65,53749,98,3
57,73586,41,0
49,97156,49,0
80,102681,63,2
81,174829,47,2
76,177531,51,2
56,145172,51,2
78,101668,38,2
50,23835,57,3
82,39352,11,0
74,28750,67,3
43,187053,76,1
68,90369,14,0
26,162256,61,1
61,40536,77,3
18,169153,70,1
21,20897,37,0
87,109348,53,2
65,46096,15,0
76,199776,59,2
88,89470,33,2
27,169405,64,1
34,46118,9,0
59,137094,23,2
33,159229,82,1
40,26512,49,3
48,29548,55,3
61,173538,98,2
64,55150,5,0
86,100165,35,2
76,173778,27,2
55,49522,89,3
32,138000,21,1
54,42083,57,3
29,28458,61,3
36,69321,50,3
88,84624,30,0
75,134809,35,2
61,35349,77,3
44,53498,89,3
86,145243,25,2
32,35564,6,0
31,105433,84,3
89,96250,94,2
26,193927,42,1
76,76357,25,0
90,189570,1,2
74,35999,59,3
65,186952,51,2
84,85278,71,2
81,146214,90,2
55,155461,46,2
43,73171,15,0
26,32328,52,3
69,152344,75,2
53,30726,49,0
83,151069,50,2
77,136030,64,2
37,161532,92,1
82,109514,83,2
31,119270,79,1
53,182101,22,1
58,122001,41,2
24,172084,23,1
75,127765,93,2
85,115776,70,2
40,122518,73,1
61,28718,82,3
83,25375,24,0
49,103961,69,3
49,73690,47,0
39,87152,39,0
42,148897,40,1
60,107693,8,0
26,111258,91,3
61,36267,12,0
20,36980,99,3
28,52352,68,3
66,64187,65,3
41,41661,66,3
24,198879,100,1
57,97398,64,3
21,62056,81,3
69,84250,91,3
58,98907,34,0
66,54379,11,0
83,148085,39,2
